
> gildedtros@1.0.0 prestart
> npm run build


> gildedtros@1.0.0 build
> tsc


> gildedtros@1.0.0 start
> node dist/test/text-test-fixture.js 500

AXXES CODE KATA - GILDED TROS
-------- day 0 --------
name, sellIn, quality
name, sellIn, quality
Ring of Cleansening Code, -241, 0
Good Wine, -249, 50
Elixir of the SOLID, -246, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -236, 0
Backstage passes for Re:Factor, -241, 0
Backstage passes for HAXX, -246, 0
Duplicate Code, -248, 0
Long Methods, -248, 0
Ugly Variable Names, -248, 0

-------- day 252 --------
name, sellIn, quality
Ring of Cleansening Code, -242, 0
Good Wine, -250, 50
Elixir of the SOLID, -247, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -237, 0
Backstage passes for Re:Factor, -242, 0
Backstage passes for HAXX, -247, 0
Duplicate Code, -249, 0
Long Methods, -249, 0
Ugly Variable Names, -249, 0

-------- day 253 --------
name, sellIn, quality
Ring of Cleansening Code, -243, 0
Good Wine, -251, 50
Elixir of the SOLID, -248, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -238, 0
Backstage passes for Re:Factor, -243, 0
Backstage passes for HAXX, -248, 0
Duplicate Code, -250, 0
Long Methods, -250, 0
Ugly Variable Names, -250, 0

-------- day 254 --------
name, sellIn, quality
Ring of Cleansening Code, -244, 0
Good Wine, -252, 50
Elixir of the SOLID, -249, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -239, 0
Backstage passes for Re:Factor, -244, 0
Backstage passes for HAXX, -249, 0
Duplicate Code, -251, 0
Long Methods, -251, 0
Ugly Variable Names, -251, 0

-------- day 255 --------
name, sellIn, quality
Ring of Cleansening Code, -245, 0
Good Wine, -253, 50
Elixir of the SOLID, -250, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -240, 0
Backstage passes for Re:Factor, -245, 0
Backstage passes for HAXX, -250, 0
Duplicate Code, -252, 0
Long Methods, -252, 0
Ugly Variable Names, -252, 0

-------- day 256 --------
name, sellIn, quality
Ring of Cleansening Code, -246, 0
Good Wine, -254, 50
Elixir of the SOLID, -251, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -241, 0
Backstage passes for Re:Factor, -246, 0
Backstage passes for HAXX, -251, 0
Duplicate Code, -253, 0
Long Methods, -253, 0
Ugly Variable Names, -253, 0

-------- day 257 --------
name, sellIn, quality
Ring of Cleansening Code, -247, 0
Good Wine, -255, 50
Elixir of the SOLID, -252, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -242, 0
Backstage passes for Re:Factor, -247, 0
Backstage passes for HAXX, -252, 0
Duplicate Code, -254, 0
Long Methods, -254, 0
Ugly Variable Names, -254, 0

-------- day 258 --------
name, sellIn, quality
Ring of Cleansening Code, -248, 0
Good Wine, -256, 50
Elixir of the SOLID, -253, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -243, 0
Backstage passes for Re:Factor, -248, 0
Backstage passes for HAXX, -253, 0
Duplicate Code, -255, 0
Long Methods, -255, 0
Ugly Variable Names, -255, 0

-------- day 259 --------
name, sellIn, quality
Ring of Cleansening Code, -249, 0
Good Wine, -257, 50
Elixir of the SOLID, -254, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -244, 0
Backstage passes for Re:Factor, -249, 0
Backstage passes for HAXX, -254, 0
Duplicate Code, -256, 0
Long Methods, -256, 0
Ugly Variable Names, -256, 0

-------- day 260 --------
name, sellIn, quality
Ring of Cleansening Code, -250, 0
Good Wine, -258, 50
Elixir of the SOLID, -255, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -245, 0
Backstage passes for Re:Factor, -250, 0
Backstage passes for HAXX, -255, 0
Duplicate Code, -257, 0
Long Methods, -257, 0
Ugly Variable Names, -257, 0

-------- day 261 --------
name, sellIn, quality
Ring of Cleansening Code, -251, 0
Good Wine, -259, 50
Elixir of the SOLID, -256, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -246, 0
Backstage passes for Re:Factor, -251, 0
Backstage passes for HAXX, -256, 0
Duplicate Code, -258, 0
Long Methods, -258, 0
Ugly Variable Names, -258, 0

-------- day 262 --------
name, sellIn, quality
Ring of Cleansening Code, -252, 0
Good Wine, -260, 50
Elixir of the SOLID, -257, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -247, 0
Backstage passes for Re:Factor, -252, 0
Backstage passes for HAXX, -257, 0
Duplicate Code, -259, 0
Long Methods, -259, 0
Ugly Variable Names, -259, 0

-------- day 263 --------
name, sellIn, quality
Ring of Cleansening Code, -253, 0
Good Wine, -261, 50
Elixir of the SOLID, -258, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -248, 0
Backstage passes for Re:Factor, -253, 0
Backstage passes for HAXX, -258, 0
Duplicate Code, -260, 0
Long Methods, -260, 0
Ugly Variable Names, -260, 0

-------- day 264 --------
name, sellIn, quality
Ring of Cleansening Code, -254, 0
Good Wine, -262, 50
Elixir of the SOLID, -259, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -249, 0
Backstage passes for Re:Factor, -254, 0
Backstage passes for HAXX, -259, 0
Duplicate Code, -261, 0
Long Methods, -261, 0
Ugly Variable Names, -261, 0

-------- day 265 --------
name, sellIn, quality
Ring of Cleansening Code, -255, 0
Good Wine, -263, 50
Elixir of the SOLID, -260, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -250, 0
Backstage passes for Re:Factor, -255, 0
Backstage passes for HAXX, -260, 0
Duplicate Code, -262, 0
Long Methods, -262, 0
Ugly Variable Names, -262, 0

-------- day 266 --------
name, sellIn, quality
Ring of Cleansening Code, -256, 0
Good Wine, -264, 50
Elixir of the SOLID, -261, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -251, 0
Backstage passes for Re:Factor, -256, 0
Backstage passes for HAXX, -261, 0
Duplicate Code, -263, 0
Long Methods, -263, 0
Ugly Variable Names, -263, 0

-------- day 267 --------
name, sellIn, quality
Ring of Cleansening Code, -257, 0
Good Wine, -265, 50
Elixir of the SOLID, -262, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -252, 0
Backstage passes for Re:Factor, -257, 0
Backstage passes for HAXX, -262, 0
Duplicate Code, -264, 0
Long Methods, -264, 0
Ugly Variable Names, -264, 0

-------- day 268 --------
name, sellIn, quality
Ring of Cleansening Code, -258, 0
Good Wine, -266, 50
Elixir of the SOLID, -263, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -253, 0
Backstage passes for Re:Factor, -258, 0
Backstage passes for HAXX, -263, 0
Duplicate Code, -265, 0
Long Methods, -265, 0
Ugly Variable Names, -265, 0

-------- day 269 --------
name, sellIn, quality
Ring of Cleansening Code, -259, 0
Good Wine, -267, 50
Elixir of the SOLID, -264, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -254, 0
Backstage passes for Re:Factor, -259, 0
Backstage passes for HAXX, -264, 0
Duplicate Code, -266, 0
Long Methods, -266, 0
Ugly Variable Names, -266, 0

-------- day 270 --------
name, sellIn, quality
Ring of Cleansening Code, -260, 0
Good Wine, -268, 50
Elixir of the SOLID, -265, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -255, 0
Backstage passes for Re:Factor, -260, 0
Backstage passes for HAXX, -265, 0
Duplicate Code, -267, 0
Long Methods, -267, 0
Ugly Variable Names, -267, 0

-------- day 271 --------
name, sellIn, quality
Ring of Cleansening Code, -261, 0
Good Wine, -269, 50
Elixir of the SOLID, -266, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -256, 0
Backstage passes for Re:Factor, -261, 0
Backstage passes for HAXX, -266, 0
Duplicate Code, -268, 0
Long Methods, -268, 0
Ugly Variable Names, -268, 0

-------- day 272 --------
name, sellIn, quality
Ring of Cleansening Code, -262, 0
Good Wine, -270, 50
Elixir of the SOLID, -267, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -257, 0
Backstage passes for Re:Factor, -262, 0
Backstage passes for HAXX, -267, 0
Duplicate Code, -269, 0
Long Methods, -269, 0
Ugly Variable Names, -269, 0

-------- day 273 --------
name, sellIn, quality
Ring of Cleansening Code, -263, 0
Good Wine, -271, 50
Elixir of the SOLID, -268, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -258, 0
Backstage passes for Re:Factor, -263, 0
Backstage passes for HAXX, -268, 0
Duplicate Code, -270, 0
Long Methods, -270, 0
Ugly Variable Names, -270, 0

-------- day 274 --------
name, sellIn, quality
Ring of Cleansening Code, -264, 0
Good Wine, -272, 50
Elixir of the SOLID, -269, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -259, 0
Backstage passes for Re:Factor, -264, 0
Backstage passes for HAXX, -269, 0
Duplicate Code, -271, 0
Long Methods, -271, 0
Ugly Variable Names, -271, 0

-------- day 275 --------
name, sellIn, quality
Ring of Cleansening Code, -265, 0
Good Wine, -273, 50
Elixir of the SOLID, -270, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -260, 0
Backstage passes for Re:Factor, -265, 0
Backstage passes for HAXX, -270, 0
Duplicate Code, -272, 0
Long Methods, -272, 0
Ugly Variable Names, -272, 0

-------- day 276 --------
name, sellIn, quality
Ring of Cleansening Code, -266, 0
Good Wine, -274, 50
Elixir of the SOLID, -271, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -261, 0
Backstage passes for Re:Factor, -266, 0
Backstage passes for HAXX, -271, 0
Duplicate Code, -273, 0
Long Methods, -273, 0
Ugly Variable Names, -273, 0

-------- day 277 --------
name, sellIn, quality
Ring of Cleansening Code, -267, 0
Good Wine, -275, 50
Elixir of the SOLID, -272, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -262, 0
Backstage passes for Re:Factor, -267, 0
Backstage passes for HAXX, -272, 0
Duplicate Code, -274, 0
Long Methods, -274, 0
Ugly Variable Names, -274, 0

-------- day 278 --------
name, sellIn, quality
Ring of Cleansening Code, -268, 0
Good Wine, -276, 50
Elixir of the SOLID, -273, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -263, 0
Backstage passes for Re:Factor, -268, 0
Backstage passes for HAXX, -273, 0
Duplicate Code, -275, 0
Long Methods, -275, 0
Ugly Variable Names, -275, 0

-------- day 279 --------
name, sellIn, quality
Ring of Cleansening Code, -269, 0
Good Wine, -277, 50
Elixir of the SOLID, -274, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -264, 0
Backstage passes for Re:Factor, -269, 0
Backstage passes for HAXX, -274, 0
Duplicate Code, -276, 0
Long Methods, -276, 0
Ugly Variable Names, -276, 0

-------- day 280 --------
name, sellIn, quality
Ring of Cleansening Code, -270, 0
Good Wine, -278, 50
Elixir of the SOLID, -275, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -265, 0
Backstage passes for Re:Factor, -270, 0
Backstage passes for HAXX, -275, 0
Duplicate Code, -277, 0
Long Methods, -277, 0
Ugly Variable Names, -277, 0

-------- day 281 --------
name, sellIn, quality
Ring of Cleansening Code, -271, 0
Good Wine, -279, 50
Elixir of the SOLID, -276, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -266, 0
Backstage passes for Re:Factor, -271, 0
Backstage passes for HAXX, -276, 0
Duplicate Code, -278, 0
Long Methods, -278, 0
Ugly Variable Names, -278, 0

-------- day 282 --------
name, sellIn, quality
Ring of Cleansening Code, -272, 0
Good Wine, -280, 50
Elixir of the SOLID, -277, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -267, 0
Backstage passes for Re:Factor, -272, 0
Backstage passes for HAXX, -277, 0
Duplicate Code, -279, 0
Long Methods, -279, 0
Ugly Variable Names, -279, 0

-------- day 283 --------
name, sellIn, quality
Ring of Cleansening Code, -273, 0
Good Wine, -281, 50
Elixir of the SOLID, -278, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -268, 0
Backstage passes for Re:Factor, -273, 0
Backstage passes for HAXX, -278, 0
Duplicate Code, -280, 0
Long Methods, -280, 0
Ugly Variable Names, -280, 0

-------- day 284 --------
name, sellIn, quality
Ring of Cleansening Code, -274, 0
Good Wine, -282, 50
Elixir of the SOLID, -279, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -269, 0
Backstage passes for Re:Factor, -274, 0
Backstage passes for HAXX, -279, 0
Duplicate Code, -281, 0
Long Methods, -281, 0
Ugly Variable Names, -281, 0

-------- day 285 --------
name, sellIn, quality
Ring of Cleansening Code, -275, 0
Good Wine, -283, 50
Elixir of the SOLID, -280, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -270, 0
Backstage passes for Re:Factor, -275, 0
Backstage passes for HAXX, -280, 0
Duplicate Code, -282, 0
Long Methods, -282, 0
Ugly Variable Names, -282, 0

-------- day 286 --------
name, sellIn, quality
Ring of Cleansening Code, -276, 0
Good Wine, -284, 50
Elixir of the SOLID, -281, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -271, 0
Backstage passes for Re:Factor, -276, 0
Backstage passes for HAXX, -281, 0
Duplicate Code, -283, 0
Long Methods, -283, 0
Ugly Variable Names, -283, 0

-------- day 287 --------
name, sellIn, quality
Ring of Cleansening Code, -277, 0
Good Wine, -285, 50
Elixir of the SOLID, -282, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -272, 0
Backstage passes for Re:Factor, -277, 0
Backstage passes for HAXX, -282, 0
Duplicate Code, -284, 0
Long Methods, -284, 0
Ugly Variable Names, -284, 0

-------- day 288 --------
name, sellIn, quality
Ring of Cleansening Code, -278, 0
Good Wine, -286, 50
Elixir of the SOLID, -283, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -273, 0
Backstage passes for Re:Factor, -278, 0
Backstage passes for HAXX, -283, 0
Duplicate Code, -285, 0
Long Methods, -285, 0
Ugly Variable Names, -285, 0

-------- day 289 --------
name, sellIn, quality
Ring of Cleansening Code, -279, 0
Good Wine, -287, 50
Elixir of the SOLID, -284, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -274, 0
Backstage passes for Re:Factor, -279, 0
Backstage passes for HAXX, -284, 0
Duplicate Code, -286, 0
Long Methods, -286, 0
Ugly Variable Names, -286, 0

-------- day 290 --------
name, sellIn, quality
Ring of Cleansening Code, -280, 0
Good Wine, -288, 50
Elixir of the SOLID, -285, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -275, 0
Backstage passes for Re:Factor, -280, 0
Backstage passes for HAXX, -285, 0
Duplicate Code, -287, 0
Long Methods, -287, 0
Ugly Variable Names, -287, 0

-------- day 291 --------
name, sellIn, quality
Ring of Cleansening Code, -281, 0
Good Wine, -289, 50
Elixir of the SOLID, -286, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -276, 0
Backstage passes for Re:Factor, -281, 0
Backstage passes for HAXX, -286, 0
Duplicate Code, -288, 0
Long Methods, -288, 0
Ugly Variable Names, -288, 0

-------- day 292 --------
name, sellIn, quality
Ring of Cleansening Code, -282, 0
Good Wine, -290, 50
Elixir of the SOLID, -287, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -277, 0
Backstage passes for Re:Factor, -282, 0
Backstage passes for HAXX, -287, 0
Duplicate Code, -289, 0
Long Methods, -289, 0
Ugly Variable Names, -289, 0

-------- day 293 --------
name, sellIn, quality
Ring of Cleansening Code, -283, 0
Good Wine, -291, 50
Elixir of the SOLID, -288, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -278, 0
Backstage passes for Re:Factor, -283, 0
Backstage passes for HAXX, -288, 0
Duplicate Code, -290, 0
Long Methods, -290, 0
Ugly Variable Names, -290, 0

-------- day 294 --------
name, sellIn, quality
Ring of Cleansening Code, -284, 0
Good Wine, -292, 50
Elixir of the SOLID, -289, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -279, 0
Backstage passes for Re:Factor, -284, 0
Backstage passes for HAXX, -289, 0
Duplicate Code, -291, 0
Long Methods, -291, 0
Ugly Variable Names, -291, 0

-------- day 295 --------
name, sellIn, quality
Ring of Cleansening Code, -285, 0
Good Wine, -293, 50
Elixir of the SOLID, -290, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -280, 0
Backstage passes for Re:Factor, -285, 0
Backstage passes for HAXX, -290, 0
Duplicate Code, -292, 0
Long Methods, -292, 0
Ugly Variable Names, -292, 0

-------- day 296 --------
name, sellIn, quality
Ring of Cleansening Code, -286, 0
Good Wine, -294, 50
Elixir of the SOLID, -291, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -281, 0
Backstage passes for Re:Factor, -286, 0
Backstage passes for HAXX, -291, 0
Duplicate Code, -293, 0
Long Methods, -293, 0
Ugly Variable Names, -293, 0

-------- day 297 --------
name, sellIn, quality
Ring of Cleansening Code, -287, 0
Good Wine, -295, 50
Elixir of the SOLID, -292, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -282, 0
Backstage passes for Re:Factor, -287, 0
Backstage passes for HAXX, -292, 0
Duplicate Code, -294, 0
Long Methods, -294, 0
Ugly Variable Names, -294, 0

-------- day 298 --------
name, sellIn, quality
Ring of Cleansening Code, -288, 0
Good Wine, -296, 50
Elixir of the SOLID, -293, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -283, 0
Backstage passes for Re:Factor, -288, 0
Backstage passes for HAXX, -293, 0
Duplicate Code, -295, 0
Long Methods, -295, 0
Ugly Variable Names, -295, 0

-------- day 299 --------
name, sellIn, quality
Ring of Cleansening Code, -289, 0
Good Wine, -297, 50
Elixir of the SOLID, -294, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -284, 0
Backstage passes for Re:Factor, -289, 0
Backstage passes for HAXX, -294, 0
Duplicate Code, -296, 0
Long Methods, -296, 0
Ugly Variable Names, -296, 0

-------- day 300 --------
name, sellIn, quality
Ring of Cleansening Code, -290, 0
Good Wine, -298, 50
Elixir of the SOLID, -295, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -285, 0
Backstage passes for Re:Factor, -290, 0
Backstage passes for HAXX, -295, 0
Duplicate Code, -297, 0
Long Methods, -297, 0
Ugly Variable Names, -297, 0

-------- day 301 --------
name, sellIn, quality
Ring of Cleansening Code, -291, 0
Good Wine, -299, 50
Elixir of the SOLID, -296, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -286, 0
Backstage passes for Re:Factor, -291, 0
Backstage passes for HAXX, -296, 0
Duplicate Code, -298, 0
Long Methods, -298, 0
Ugly Variable Names, -298, 0

-------- day 302 --------
name, sellIn, quality
Ring of Cleansening Code, -292, 0
Good Wine, -300, 50
Elixir of the SOLID, -297, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -287, 0
Backstage passes for Re:Factor, -292, 0
Backstage passes for HAXX, -297, 0
Duplicate Code, -299, 0
Long Methods, -299, 0
Ugly Variable Names, -299, 0

-------- day 303 --------
name, sellIn, quality
Ring of Cleansening Code, -293, 0
Good Wine, -301, 50
Elixir of the SOLID, -298, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -288, 0
Backstage passes for Re:Factor, -293, 0
Backstage passes for HAXX, -298, 0
Duplicate Code, -300, 0
Long Methods, -300, 0
Ugly Variable Names, -300, 0

-------- day 304 --------
name, sellIn, quality
Ring of Cleansening Code, -294, 0
Good Wine, -302, 50
Elixir of the SOLID, -299, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -289, 0
Backstage passes for Re:Factor, -294, 0
Backstage passes for HAXX, -299, 0
Duplicate Code, -301, 0
Long Methods, -301, 0
Ugly Variable Names, -301, 0

-------- day 305 --------
name, sellIn, quality
Ring of Cleansening Code, -295, 0
Good Wine, -303, 50
Elixir of the SOLID, -300, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -290, 0
Backstage passes for Re:Factor, -295, 0
Backstage passes for HAXX, -300, 0
Duplicate Code, -302, 0
Long Methods, -302, 0
Ugly Variable Names, -302, 0

-------- day 306 --------
name, sellIn, quality
Ring of Cleansening Code, -296, 0
Good Wine, -304, 50
Elixir of the SOLID, -301, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -291, 0
Backstage passes for Re:Factor, -296, 0
Backstage passes for HAXX, -301, 0
Duplicate Code, -303, 0
Long Methods, -303, 0
Ugly Variable Names, -303, 0

-------- day 307 --------
name, sellIn, quality
Ring of Cleansening Code, -297, 0
Good Wine, -305, 50
Elixir of the SOLID, -302, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -292, 0
Backstage passes for Re:Factor, -297, 0
Backstage passes for HAXX, -302, 0
Duplicate Code, -304, 0
Long Methods, -304, 0
Ugly Variable Names, -304, 0

-------- day 308 --------
name, sellIn, quality
Ring of Cleansening Code, -298, 0
Good Wine, -306, 50
Elixir of the SOLID, -303, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -293, 0
Backstage passes for Re:Factor, -298, 0
Backstage passes for HAXX, -303, 0
Duplicate Code, -305, 0
Long Methods, -305, 0
Ugly Variable Names, -305, 0

-------- day 309 --------
name, sellIn, quality
Ring of Cleansening Code, -299, 0
Good Wine, -307, 50
Elixir of the SOLID, -304, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -294, 0
Backstage passes for Re:Factor, -299, 0
Backstage passes for HAXX, -304, 0
Duplicate Code, -306, 0
Long Methods, -306, 0
Ugly Variable Names, -306, 0

-------- day 310 --------
name, sellIn, quality
Ring of Cleansening Code, -300, 0
Good Wine, -308, 50
Elixir of the SOLID, -305, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -295, 0
Backstage passes for Re:Factor, -300, 0
Backstage passes for HAXX, -305, 0
Duplicate Code, -307, 0
Long Methods, -307, 0
Ugly Variable Names, -307, 0

-------- day 311 --------
name, sellIn, quality
Ring of Cleansening Code, -301, 0
Good Wine, -309, 50
Elixir of the SOLID, -306, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -296, 0
Backstage passes for Re:Factor, -301, 0
Backstage passes for HAXX, -306, 0
Duplicate Code, -308, 0
Long Methods, -308, 0
Ugly Variable Names, -308, 0

-------- day 312 --------
name, sellIn, quality
Ring of Cleansening Code, -302, 0
Good Wine, -310, 50
Elixir of the SOLID, -307, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -297, 0
Backstage passes for Re:Factor, -302, 0
Backstage passes for HAXX, -307, 0
Duplicate Code, -309, 0
Long Methods, -309, 0
Ugly Variable Names, -309, 0

-------- day 313 --------
name, sellIn, quality
Ring of Cleansening Code, -303, 0
Good Wine, -311, 50
Elixir of the SOLID, -308, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -298, 0
Backstage passes for Re:Factor, -303, 0
Backstage passes for HAXX, -308, 0
Duplicate Code, -310, 0
Long Methods, -310, 0
Ugly Variable Names, -310, 0

-------- day 314 --------
name, sellIn, quality
Ring of Cleansening Code, -304, 0
Good Wine, -312, 50
Elixir of the SOLID, -309, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -299, 0
Backstage passes for Re:Factor, -304, 0
Backstage passes for HAXX, -309, 0
Duplicate Code, -311, 0
Long Methods, -311, 0
Ugly Variable Names, -311, 0

-------- day 315 --------
name, sellIn, quality
Ring of Cleansening Code, -305, 0
Good Wine, -313, 50
Elixir of the SOLID, -310, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -300, 0
Backstage passes for Re:Factor, -305, 0
Backstage passes for HAXX, -310, 0
Duplicate Code, -312, 0
Long Methods, -312, 0
Ugly Variable Names, -312, 0

-------- day 316 --------
name, sellIn, quality
Ring of Cleansening Code, -306, 0
Good Wine, -314, 50
Elixir of the SOLID, -311, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -301, 0
Backstage passes for Re:Factor, -306, 0
Backstage passes for HAXX, -311, 0
Duplicate Code, -313, 0
Long Methods, -313, 0
Ugly Variable Names, -313, 0

-------- day 317 --------
name, sellIn, quality
Ring of Cleansening Code, -307, 0
Good Wine, -315, 50
Elixir of the SOLID, -312, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -302, 0
Backstage passes for Re:Factor, -307, 0
Backstage passes for HAXX, -312, 0
Duplicate Code, -314, 0
Long Methods, -314, 0
Ugly Variable Names, -314, 0

-------- day 318 --------
name, sellIn, quality
Ring of Cleansening Code, -308, 0
Good Wine, -316, 50
Elixir of the SOLID, -313, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -303, 0
Backstage passes for Re:Factor, -308, 0
Backstage passes for HAXX, -313, 0
Duplicate Code, -315, 0
Long Methods, -315, 0
Ugly Variable Names, -315, 0

-------- day 319 --------
name, sellIn, quality
Ring of Cleansening Code, -309, 0
Good Wine, -317, 50
Elixir of the SOLID, -314, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -304, 0
Backstage passes for Re:Factor, -309, 0
